--- Results for: test1.lang ---
Token: ID         | Lexeme: 'Simple_int' | Line: 9, Col: 1
Token: ID         | Lexeme: 'X' | Line: 65, Col: 14
Token: MINUS      | Lexeme: '-' | Line: 65, Col: 16
Token: ID         | Lexeme: 'Y' | Line: 65, Col: 18
Token: SEMI       | Lexeme: ';' | Line: 65, Col: 19
Token: ID         | Lexeme: 'Product' | Line: 66, Col: 1
Token: ASSIGN     | Lexeme: '=' | Line: 66, Col: 9
Token: ID         | Lexeme: 'M' | Line: 66, Col: 11
Token: MULT       | Lexeme: '*' | Line: 66, Col: 13
Token: ID         | Lexeme: 'N' | Line: 66, Col: 15
Token: SEMI       | Lexeme: ';' | Line: 66, Col: 16
Token: ID         | Lexeme: 'Quotient' | Line: 67, Col: 1
Token: ASSIGN     | Lexeme: '=' | Line: 67, Col: 10
Token: ID         | Lexeme: 'P' | Line: 67, Col: 12
Token: DIV        | Lexeme: '/' | Line: 67, Col: 14
Token: ID         | Lexeme: 'Q' | Line: 67, Col: 16
Token: SEMI       | Lexeme: ';' | Line: 67, Col: 17
Token: ID         | Lexeme: 'Remainder' | Line: 68, Col: 1
Token: ASSIGN     | Lexeme: '=' | Line: 68, Col: 11
Token: ID         | Lexeme: 'R' | Line: 68, Col: 13
Token: MOD        | Lexeme: '%' | Line: 68, Col: 15
Token: ID         | Lexeme: 'S' | Line: 68, Col: 17
Token: SEMI       | Lexeme: ';' | Line: 68, Col: 18
Token: ID         | Lexeme: 'Power' | Line: 69, Col: 1
Token: ASSIGN     | Lexeme: '=' | Line: 69, Col: 7
Token: ID         | Lexeme: 'Base' | Line: 69, Col: 9
Token: POW        | Lexeme: '**' | Line: 69, Col: 14
Token: ID         | Lexeme: 'Exponent' | Line: 69, Col: 17
Token: SEMI       | Lexeme: ';' | Line: 69, Col: 25
Token: ID         | Lexeme: 'And_result' | Line: 74, Col: 1
Token: ASSIGN     | Lexeme: '=' | Line: 74, Col: 12
Token: LPAREN     | Lexeme: '(' | Line: 74, Col: 14
Token: ID         | Lexeme: 'X' | Line: 74, Col: 15
Token: GT         | Lexeme: '>' | Line: 74, Col: 17
Token: INT_LIT    | Lexeme: '0' | Line: 74, Col: 19
Token: RPAREN     | Lexeme: ')' | Line: 74, Col: 20
Token: AND        | Lexeme: '&&' | Line: 74, Col: 22
Token: LPAREN     | Lexeme: '(' | Line: 74, Col: 25
Token: ID         | Lexeme: 'Y' | Line: 74, Col: 26
Token: LT         | Lexeme: '<' | Line: 74, Col: 28
Token: INT_LIT    | Lexeme: '10' | Line: 74, Col: 30
Token: RPAREN     | Lexeme: ')' | Line: 74, Col: 32
Token: SEMI       | Lexeme: ';' | Line: 74, Col: 33
Token: ID         | Lexeme: 'Or_result' | Line: 75, Col: 1
Token: ASSIGN     | Lexeme: '=' | Line: 75, Col: 11
Token: LPAREN     | Lexeme: '(' | Line: 75, Col: 13
Token: ID         | Lexeme: 'A' | Line: 75, Col: 14
Token: EQ         | Lexeme: '==' | Line: 75, Col: 16
Token: ID         | Lexeme: 'B' | Line: 75, Col: 19
Token: RPAREN     | Lexeme: ')' | Line: 75, Col: 20
Token: OR         | Lexeme: '||' | Line: 75, Col: 22
Token: LPAREN     | Lexeme: '(' | Line: 75, Col: 25
Token: ID         | Lexeme: 'C' | Line: 75, Col: 26
Token: NEQ        | Lexeme: '!=' | Line: 75, Col: 28
Token: ID         | Lexeme: 'D' | Line: 75, Col: 31
Token: RPAREN     | Lexeme: ')' | Line: 75, Col: 32
Token: SEMI       | Lexeme: ';' | Line: 75, Col: 33
Token: ID         | Lexeme: 'Not_result' | Line: 76, Col: 1
Token: ASSIGN     | Lexeme: '=' | Line: 76, Col: 12
Token: NOT        | Lexeme: '!' | Line: 76, Col: 14
Token: ID         | Lexeme: 'Flag' | Line: 76, Col: 15
Token: SEMI       | Lexeme: ';' | Line: 76, Col: 19
Token: ID         | Lexeme: 'Value' | Line: 81, Col: 1
Token: ASSIGN     | Lexeme: '=' | Line: 81, Col: 7
Token: INT_LIT    | Lexeme: '100' | Line: 81, Col: 9
Token: SEMI       | Lexeme: ';' | Line: 81, Col: 12
Token: ID         | Lexeme: 'Value' | Line: 82, Col: 1
Token: PLUS_ASSIGN | Lexeme: '+=' | Line: 82, Col: 7
Token: INT_LIT    | Lexeme: '50' | Line: 82, Col: 10
Token: SEMI       | Lexeme: ';' | Line: 82, Col: 12
Token: ID         | Lexeme: 'Value' | Line: 83, Col: 1
Token: MIN_ASSIGN | Lexeme: '-=' | Line: 83, Col: 7
Token: INT_LIT    | Lexeme: '20' | Line: 83, Col: 10
Token: SEMI       | Lexeme: ';' | Line: 83, Col: 12
Token: ID         | Lexeme: 'Value' | Line: 84, Col: 1
Token: MULT_ASSIGN | Lexeme: '*=' | Line: 84, Col: 7
Token: INT_LIT    | Lexeme: '2' | Line: 84, Col: 10
Token: SEMI       | Lexeme: ';' | Line: 84, Col: 11
Token: ID         | Lexeme: 'Value' | Line: 85, Col: 1
Token: DIV_ASSIGN | Lexeme: '/=' | Line: 85, Col: 7
Token: INT_LIT    | Lexeme: '4' | Line: 85, Col: 10
Token: SEMI       | Lexeme: ';' | Line: 85, Col: 11
Token: ID         | Lexeme: 'Counter' | Line: 90, Col: 1
Token: INC        | Lexeme: '++' | Line: 90, Col: 8
Token: SEMI       | Lexeme: ';' | Line: 90, Col: 10
Token: ID         | Lexeme: 'Index' | Line: 91, Col: 1
Token: DEC        | Lexeme: '--' | Line: 91, Col: 6
Token: SEMI       | Lexeme: ';' | Line: 91, Col: 8
Token: INC        | Lexeme: '++' | Line: 92, Col: 1
Token: ID         | Lexeme: 'Prefix_inc' | Line: 92, Col: 3
Token: SEMI       | Lexeme: ';' | Line: 92, Col: 13
Token: DEC        | Lexeme: '--' | Line: 93, Col: 1
Token: ID         | Lexeme: 'Prefix_dec' | Line: 93, Col: 3
Token: SEMI       | Lexeme: ';' | Line: 93, Col: 13
Token: ID         | Lexeme: 'Array' | Line: 98, Col: 1
Token: LBRACK     | Lexeme: '[' | Line: 98, Col: 6
Token: INT_LIT    | Lexeme: '0' | Line: 98, Col: 7
Token: RBRACK     | Lexeme: ']' | Line: 98, Col: 8
Token: SEMI       | Lexeme: ';' | Line: 98, Col: 9
Token: ID         | Lexeme: 'Matrix' | Line: 99, Col: 1
Token: LBRACK     | Lexeme: '[' | Line: 99, Col: 7
Token: INT_LIT    | Lexeme: '5' | Line: 99, Col: 8
Token: RBRACK     | Lexeme: ']' | Line: 99, Col: 9
Token: SEMI       | Lexeme: ';' | Line: 99, Col: 10
Token: ID         | Lexeme: 'List' | Line: 100, Col: 1
Token: LBRACK     | Lexeme: '[' | Line: 100, Col: 5
Token: INT_LIT    | Lexeme: '10' | Line: 100, Col: 6
Token: RBRACK     | Lexeme: ']' | Line: 100, Col: 8
Token: SEMI       | Lexeme: ';' | Line: 100, Col: 9
Token: LBRACE     | Lexeme: '{' | Line: 101, Col: 1
Token: ID         | Lexeme: 'A' | Line: 101, Col: 2
Token: COMMA      | Lexeme: ',' | Line: 101, Col: 3
Token: ID         | Lexeme: 'B' | Line: 101, Col: 5
Token: COMMA      | Lexeme: ',' | Line: 101, Col: 6
Token: ID         | Lexeme: 'C' | Line: 101, Col: 8
Token: RBRACE     | Lexeme: '}' | Line: 101, Col: 9
Token: SEMI       | Lexeme: ';' | Line: 101, Col: 10
Token: LPAREN     | Lexeme: '(' | Line: 102, Col: 1
Token: ID         | Lexeme: 'X' | Line: 102, Col: 2
Token: COMMA      | Lexeme: ',' | Line: 102, Col: 3
Token: ID         | Lexeme: 'Y' | Line: 102, Col: 5
Token: COMMA      | Lexeme: ',' | Line: 102, Col: 6
Token: ID         | Lexeme: 'Z' | Line: 102, Col: 8
Token: RPAREN     | Lexeme: ')' | Line: 102, Col: 9
Token: SEMI       | Lexeme: ';' | Line: 102, Col: 10
Token: ID         | Lexeme: 'Group' | Line: 103, Col: 1
Token: COLON      | Lexeme: ':' | Line: 103, Col: 6
Token: LBRACK     | Lexeme: '[' | Line: 103, Col: 8
Token: INT_LIT    | Lexeme: '1' | Line: 103, Col: 9
Token: COMMA      | Lexeme: ',' | Line: 103, Col: 10
Token: INT_LIT    | Lexeme: '2' | Line: 103, Col: 12
Token: COMMA      | Lexeme: ',' | Line: 103, Col: 13
Token: INT_LIT    | Lexeme: '3' | Line: 103, Col: 15
Token: RBRACK     | Lexeme: ']' | Line: 103, Col: 16
Token: SEMI       | Lexeme: ';' | Line: 103, Col: 17

--- Results for: test2.lang ---
Token: ID         | Lexeme: 'Result1' | Line: 7, Col: 1
Token: ASSIGN     | Lexeme: '=' | Line: 7, Col: 9
Token: LPAREN     | Lexeme: '(' | Line: 7, Col: 11
Token: ID         | Lexeme: 'A' | Line: 7, Col: 12
Token: PLUS       | Lexeme: '+' | Line: 7, Col: 14
Token: ID         | Lexeme: 'B' | Line: 7, Col: 16
Token: RPAREN     | Lexeme: ')' | Line: 7, Col: 17
Token: MULT       | Lexeme: '*' | Line: 7, Col: 19
Token: LPAREN     | Lexeme: '(' | Line: 7, Col: 21
Token: ID         | Lexeme: 'C' | Line: 7, Col: 22
Token: MINUS      | Lexeme: '-' | Line: 7, Col: 24
Token: ID         | Lexeme: 'D' | Line: 7, Col: 26
Token: RPAREN     | Lexeme: ')' | Line: 7, Col: 27
Token: DIV        | Lexeme: '/' | Line: 7, Col: 29
Token: ID         | Lexeme: 'E' | Line: 7, Col: 31
Token: SEMI       | Lexeme: ';' | Line: 7, Col: 32
Token: ID         | Lexeme: 'Result2' | Line: 8, Col: 1
Token: ASSIGN     | Lexeme: '=' | Line: 8, Col: 9
Token: LPAREN     | Lexeme: '(' | Line: 8, Col: 11
Token: LPAREN     | Lexeme: '(' | Line: 8, Col: 12
Token: ID         | Lexeme: 'X' | Line: 8, Col: 13
Token: POW        | Lexeme: '**' | Line: 8, Col: 15
Token: INT_LIT    | Lexeme: '2' | Line: 8, Col: 18
Token: RPAREN     | Lexeme: ')' | Line: 8, Col: 19
Token: PLUS       | Lexeme: '+' | Line: 8, Col: 21
Token: LPAREN     | Lexeme: '(' | Line: 8, Col: 23
Token: ID         | Lexeme: 'Y' | Line: 8, Col: 24
Token: POW        | Lexeme: '**' | Line: 8, Col: 26
Token: INT_LIT    | Lexeme: '2' | Line: 8, Col: 29
Token: RPAREN     | Lexeme: ')' | Line: 8, Col: 30
Token: RPAREN     | Lexeme: ')' | Line: 8, Col: 31
Token: SEMI       | Lexeme: ';' | Line: 8, Col: 32
Token: ID         | Lexeme: 'Result3' | Line: 9, Col: 1
Token: ASSIGN     | Lexeme: '=' | Line: 9, Col: 9
Token: LPAREN     | Lexeme: '(' | Line: 9, Col: 11
Token: ID         | Lexeme: 'M' | Line: 9, Col: 12
Token: MULT       | Lexeme: '*' | Line: 9, Col: 14
Token: ID         | Lexeme: 'N' | Line: 9, Col: 16
Token: RPAREN     | Lexeme: ')' | Line: 9, Col: 17
Token: PLUS       | Lexeme: '+' | Line: 9, Col: 19
Token: LPAREN     | Lexeme: '(' | Line: 9, Col: 21
Token: ID         | Lexeme: 'P' | Line: 9, Col: 22
Token: DIV        | Lexeme: '/' | Line: 9, Col: 24
Token: ID         | Lexeme: 'Q' | Line: 9, Col: 26
Token: RPAREN     | Lexeme: ')' | Line: 9, Col: 27
Token: MINUS      | Lexeme: '-' | Line: 9, Col: 29
Token: LPAREN     | Lexeme: '(' | Line: 9, Col: 31
Token: ID         | Lexeme: 'R' | Line: 9, Col: 32
Token: MOD        | Lexeme: '%' | Line: 9, Col: 34
Token: ID         | Lexeme: 'S' | Line: 9, Col: 36
Token: RPAREN     | Lexeme: ')' | Line: 9, Col: 37
Token: SEMI       | Lexeme: ';' | Line: 9, Col: 38
Token: ID         | Lexeme: 'Deep' | Line: 12, Col: 1
Token: ASSIGN     | Lexeme: '=' | Line: 12, Col: 6
Token: LPAREN     | Lexeme: '(' | Line: 12, Col: 8
Token: LPAREN     | Lexeme: '(' | Line: 12, Col: 9
Token: LPAREN     | Lexeme: '(' | Line: 12, Col: 10
Token: LPAREN     | Lexeme: '(' | Line: 12, Col: 11
Token: ID         | Lexeme: 'A' | Line: 12, Col: 12
Token: PLUS       | Lexeme: '+' | Line: 12, Col: 14
Token: ID         | Lexeme: 'B' | Line: 12, Col: 16
Token: RPAREN     | Lexeme: ')' | Line: 12, Col: 17
Token: MULT       | Lexeme: '*' | Line: 12, Col: 19
Token: ID         | Lexeme: 'C' | Line: 12, Col: 21
Token: RPAREN     | Lexeme: ')' | Line: 12, Col: 22
Token: MINUS      | Lexeme: '-' | Line: 12, Col: 24
Token: ID         | Lexeme: 'D' | Line: 12, Col: 26
Token: RPAREN     | Lexeme: ')' | Line: 12, Col: 27
Token: DIV        | Lexeme: '/' | Line: 12, Col: 29
Token: ID         | Lexeme: 'E' | Line: 12, Col: 31
Token: RPAREN     | Lexeme: ')' | Line: 12, Col: 32
Token: SEMI       | Lexeme: ';' | Line: 12, Col: 33
Token: ID         | Lexeme: 'Complex_calc' | Line: 13, Col: 1
Token: ASSIGN     | Lexeme: '=' | Line: 13, Col: 14
Token: LPAREN     | Lexeme: '(' | Line: 13, Col: 16
Token: ID         | Lexeme: 'A' | Line: 13, Col: 17
Token: PLUS       | Lexeme: '+' | Line: 13, Col: 19
Token: LPAREN     | Lexeme: '(' | Line: 13, Col: 21
Token: ID         | Lexeme: 'B' | Line: 13, Col: 22
Token: MULT       | Lexeme: '*' | Line: 13, Col: 24
Token: LPAREN     | Lexeme: '(' | Line: 13, Col: 26
Token: ID         | Lexeme: 'C' | Line: 13, Col: 27
Token: MINUS      | Lexeme: '-' | Line: 13, Col: 29
Token: LPAREN     | Lexeme: '(' | Line: 13, Col: 31
Token: ID         | Lexeme: 'D' | Line: 13, Col: 32
Token: DIV        | Lexeme: '/' | Line: 13, Col: 34
Token: ID         | Lexeme: 'E' | Line: 13, Col: 36
Token: RPAREN     | Lexeme: ')' | Line: 13, Col: 37
Token: RPAREN     | Lexeme: ')' | Line: 13, Col: 38
Token: RPAREN     | Lexeme: ')' | Line: 13, Col: 39
Token: RPAREN     | Lexeme: ')' | Line: 13, Col: 40
Token: SEMI       | Lexeme: ';' | Line: 13, Col: 41
Token: ID         | Lexeme: 'Expression1' | Line: 16, Col: 1
Token: ASSIGN     | Lexeme: '=' | Line: 16, Col: 13
Token: ID         | Lexeme: 'A' | Line: 16, Col: 15
Token: PLUS       | Lexeme: '+' | Line: 16, Col: 17
Token: ID         | Lexeme: 'B' | Line: 16, Col: 19
Token: MULT       | Lexeme: '*' | Line: 16, Col: 21
Token: ID         | Lexeme: 'C' | Line: 16, Col: 23
Token: MINUS      | Lexeme: '-' | Line: 16, Col: 25
Token: ID         | Lexeme: 'D' | Line: 16, Col: 27
Token: DIV        | Lexeme: '/' | Line: 16, Col: 29
Token: ID         | Lexeme: 'E' | Line: 16, Col: 31
Token: SEMI       | Lexeme: ';' | Line: 16, Col: 32
Token: ID         | Lexeme: 'Expression2' | Line: 17, Col: 1
Token: ASSIGN     | Lexeme: '=' | Line: 17, Col: 13
Token: ID         | Lexeme: 'X' | Line: 17, Col: 15
Token: POW        | Lexeme: '**' | Line: 17, Col: 17
Token: ID         | Lexeme: 'Y' | Line: 17, Col: 20
Token: PLUS       | Lexeme: '+' | Line: 17, Col: 22
Token: ID         | Lexeme: 'Z' | Line: 17, Col: 24
Token: MULT       | Lexeme: '*' | Line: 17, Col: 26
Token: ID         | Lexeme: 'W' | Line: 17, Col: 28
Token: MINUS      | Lexeme: '-' | Line: 17, Col: 30
Token: ID         | Lexeme: 'V' | Line: 17, Col: 32
Token: SEMI       | Lexeme: ';' | Line: 17, Col: 33
Token: ID         | Lexeme: 'Expression3' | Line: 18, Col: 1
Token: ASSIGN     | Lexeme: '=' | Line: 18, Col: 13
Token: LPAREN     | Lexeme: '(' | Line: 18, Col: 15
Token: ID         | Lexeme: 'A' | Line: 18, Col: 16
Token: PLUS       | Lexeme: '+' | Line: 18, Col: 18
Token: ID         | Lexeme: 'B' | Line: 18, Col: 20
Token: RPAREN     | Lexeme: ')' | Line: 18, Col: 21
Token: POW        | Lexeme: '**' | Line: 18, Col: 23
Token: LPAREN     | Lexeme: '(' | Line: 18, Col: 26
Token: ID         | Lexeme: 'C' | Line: 18, Col: 27
